Id,Name,IsPersonAccount,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,MiddleName,Suffix,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,CreatedDate,LastModifiedDate,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,PersonContactId,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonMailingAddress,PersonOtherStreet,PersonOtherCity,PersonOtherState,PersonOtherPostalCode,PersonOtherCountry,PersonOtherLatitude,PersonOtherLongitude,PersonOtherGeocodeAccuracy,PersonOtherAddress,PersonMobilePhone,PersonHomePhone,PersonOtherPhone,PersonAssistantPhone,PersonEmail,PersonTitle,PersonDepartment,PersonAssistantName,PersonLeadSource,PersonBirthdate,PersonHasOptedOutOfEmail,PersonHasOptedOutOfFax,PersonDoNotCall,PersonLastCURequestDate,PersonLastCUUpdateDate,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,OperatingHoursId,FinServ__AUM__c,FinServ__ClientCategory__c,FinServ__FinancialInterests__c,FinServ__IndividualId__c,FinServ__IndividualType__c,FinServ__InvestmentExperience__c,FinServ__InvestmentObjectives__c,FinServ__LastInteraction__c,FinServ__LastReview__c,FinServ__MarketingSegment__c,FinServ__NetWorth__c,FinServ__NextInteraction__c,FinServ__NextReview__c,FinServ__Notes__c,FinServ__PersonalInterests__c,FinServ__PrimaryContact__c,FinServ__ReviewFrequency__c,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__SourceSystemId__c,FinServ__Status__c,FinServ__TimeHorizon__c,FinServ__TotalAUMJointOwner__c,FinServ__TotalAUMPrimaryOwner__c,FinServ__TotalBankDepositsJointOwner__c,FinServ__TotalBankDepositsPrimaryOwner__c,FinServ__TotalBankDeposits__c,FinServ__TotalFinAcctsJointOwner__c,FinServ__TotalFinAcctsPrimaryOwner__c,FinServ__TotalFinancialAccounts__c,FinServ__TotalHeldFinAcctsJointOwner__c,FinServ__TotalHeldFinAcctsPrimaryOwner__c,FinServ__TotalInsuranceJointOwner__c,FinServ__TotalInsurancePrimaryOwner__c,FinServ__TotalInsurance__c,FinServ__TotalInvestmentsJointOwner__c,FinServ__TotalInvestmentsPrimaryOwner__c,FinServ__TotalInvestments__c,FinServ__TotalLiabilitiesJointOwner__c,FinServ__TotalLiabilitiesPrimaryOwner__c,FinServ__TotalLiabilities__c,FinServ__TotalNonfinancialAssetsJointOwner__c,FinServ__TotalNonfinancialAssetsPrimaryOwner__c,FinServ__TotalNonfinancialAssets__c,FinServ__WalletShare__c,FinServ__BankNumber__c,FinServ__BorrowingHistory__c,FinServ__BorrowingPriorities__c,FinServ__BranchCode__c,FinServ__BranchName__c,FinServ__ConversionDateTime__c,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerID__c,FinServ__CustomerSegment__c,FinServ__CustomerType__c,FinServ__KYCDate__c,FinServ__KYCStatus__c,FinServ__LastTransactionDateJointOwner__c,FinServ__LastTransactionDatePrimaryOwner__c,FinServ__LastTransactionDate__c,FinServ__LastUsedChannel__c,FinServ__LengthOfRelationship__c,FinServ__LifetimeValue__c,FinServ__ReferredByContact__c,FinServ__RelationshipStartDate__c,FinServ__TotalNumberOfFinAccountsJointOwner__c,FinServ__TotalNumberOfFinAccountsPrimaryOwner__c,FinServ__TotalNumberOfFinAccounts__c,FinServ__TotalOutstandingCreditJointOwner__c,FinServ__TotalOutstandingCreditPrimaryOwner__c,FinServ__TotalOutstandingCredit__c,FinServ__TotalRevenue__c,FinServ__TotalPremium__c,FinServ__AgeAsText__pc,FinServ__Age__pc,FinServ__AnnualIncome__pc,FinServ__BillingAddress__pc,FinServ__Citizenship__pc,FinServ__CountryOfResidence__pc,FinServ__CreatedFromLead__pc,FinServ__CurrentEmployer__pc,FinServ__EmployedSince__pc,FinServ__Facebook__pc,FinServ__Gender__pc,FinServ__IndividualId__pc,FinServ__IndividualType__pc,FinServ__LanguagesSpoken__pc,FinServ__LinkedIn__pc,FinServ__MailingAddress__pc,FinServ__MaritalStatus__pc,FinServ__NumberOfDependents__pc,FinServ__Occupation__pc,FinServ__OtherAddress__pc,FinServ__PrimaryAddressIsBilling__pc,FinServ__PrimaryAddressIsMailing__pc,FinServ__PrimaryAddressIsOther__pc,FinServ__PrimaryAddressIsShipping__pc,FinServ__ShippingAddress__pc,FinServ__SourceSystemId__pc,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__Twitter__pc,FinServ__WeddingAnniversary__pc,FinServ__CountryOfBirth__pc,FinServ__PreferredName__pc,FinServ__PrimaryLanguage__pc,FinServ__SecondaryLanguage__pc,FinServ__Affiliations__pc,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CustomerTimezone__pc,FinServ__EmailVerified__pc,FinServ__FaxVerified__pc,FinServ__HomeOwnership__pc,FinServ__HomePhoneVerified__pc,FinServ__LastFourDigitSSN__pc,FinServ__MarketingOptOut__pc,FinServ__MobileVerified__pc,FinServ__MostUsedChannel__pc,FinServ__MotherMaidenName__pc,FinServ__NextLifeEvent__pc,FinServ__NumberOfChildren__pc,FinServ__PrimaryCitizenship__pc,FinServ__ReferredByContact__pc,FinServ__ReferrerScore__pc,FinServ__SecondaryCitizenship__pc,Parent.Name,PersonIndividual.Name,OperatingHours.Name,FinServ__PrimaryContact__r.Name,FinServ__ReferredByContact__r.Name,FinServ__ReferredByContact__pr.Name
0013h00000BGEeKAAX,Cumulus Restaurants (Sample),false,false,,,,,,,Other,,,,,,,,,,,,,,,,,,16283919393,,,www.cumulus-restaurants.com,/services/images/photo/0013h00000BGEeKAAX,,Food & Beverage,,,,CLU,,Hot,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,false,,,,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,,,,,,
0013h00000BGEeIAAX,Adams Charitable Trust (Sample),false,false,,,,,,,,,10 Romolo Place,San Francisco,CA,94133,United States,,,,Adams Avenue,Milpitas,CA,95035,United States,,,,5107174299,,,www.adamsct.co.nb,/services/images/photo/0013h00000BGEeIAAX,,Not For Profit,,1999,,,,,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,0,,,,,,,,,,,,,Rachel Adams is highly involved in the activities of this trust.,,,,,,,,,0,0,0,275000,275000,7100,275000,282100,7100,275000,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,1,1,2,7100,0,7100,,,,,,,,,false,,,,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,,,,,,
0013h00000BGEeJAAX,Adams Household (Sample),false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0013h00000BGEeJAAX,,,,,,,,,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-05-24,2020-06-22T13:50:37.000+0000,2020-06-22T13:50:37.000+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,1195000,,,,Group,,,2020-07-10,,,,2021-06-02,,"Adams Family is a highly valued, high net worth household.",,,,,,,,,0,1195000,0,387676.57,387676.57,,1778911.21,1778911.21,,1536911.21,0,2000000,2000000,0,1337000,1337000,0,25000,25000,0,1000000,1000000,86,,,,,,,,,,,,,,,,,,,,,,,13,13,,54234.64,54234.64,,3000,,,,,,,false,,,,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,,,,,,
0013h00000BGEeLAAX,Aaron Thompson (Sample),true,false,,Thompson (Sample),Aaron,Mr.,,,Partner,,1155 Market Street,San Francisco,CA,94103,United States,,,,,,,,,,,,(541) 754-3010,,,,/services/images/photo/0013h00000BGEeLAAX,,,,,,,,Hot,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,,2020-06-12T18:40:42.000+0000,2020-06-12T18:40:42.000+0000,0033h00000814bGAAQ,1155 Market Street,San Francisco,CA,94103,United States,,,,[object Object],,,,,,,,,,,,,,adamr@mikcorp.com,Agent,,,,,false,false,false,,,,,,,,,,,0,,,0013A00001d0PBnQAM1560449228540,Individual,,,,,,,,,,,0033h00000814bGAAQ,,,,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,"1155 Market Street_BR_ENCODED_San Francisco, CA 94103_BR_ENCODED_United States",,,false,,,,,0013A00001d0PBnQAM1560449228540,,,,"1155 Market Street<br>San Francisco, CA 94103<br>United States",,,,,false,false,false,false,,,,,,,United States,,English,English,,,,,false,false,,false,,false,false,,,,,United States,,0,United States,,,,Aaron Thompson (Sample),,
0013h00000BGEeMAAX,Neil Symonds (Sample),true,false,,Symonds (Sample),Neil,Mr.,,,,,10021 South Blaney Avenue,Cupertino,CA,95014,United States,,,,,,,,,,,,5105490092,,,,/services/images/photo/0013h00000BGEeMAAX,,,,,,,,Hot,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11,,,0033h00000814bEAAQ,10021 South Blaney Avenue,Cupertino,CA,95014,United States,,,,[object Object],,,,,,,,,,5105490091,,,,neil.symonds@symonds.com,,,,,1950-03-17,false,false,false,,,,,,,,,,,324700,Gold,Fixed Income;Energy;Technology,0014100000AlE7lAAF1480462398937,Individual,Moderately Inexperienced,Balanced;Growth,2020-06-07,,High Net Worth,500000,2020-06-10,,,Environment,0033h00000814bEAAQ,Quarterly,Conservative,Tier 2,,Prospect,Medium Term,0,324700,0,0,0,142000,324700,466700,0,324700,0,0,0,142000,324700,466700,0,0,0,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0,11.75,,70 years 3 months 5 days,70.3,,"10021 South Blaney Avenue_BR_ENCODED_Cupertino, CA 95014_BR_ENCODED_United States",,,false,Symonds Inc.,,,,0014100000AlE7lAAF1480462398937,Individual,,,"10021 South Blaney Avenue<br>Cupertino, CA 95014<br>United States",,,,,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,0,,,,,Neil Symonds (Sample),,
0013h00000BGEeNAAX,Nigel Adams (Sample),true,false,,Adams (Sample),Nigel,Mr.,,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0013h00000BGEeNAAX,,,,,,,,,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,,,,0033h00000814bDAAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967-06-19,false,false,false,,,,,,,,,,,300000,,,00141000007RvpBAAS1477432542883,Individual,,,,,,,,,,,0033h00000814bDAAQ,,,,,Prospect,,0,300000,0,0,0,12377.65,300000,312377.65,12377.65,300000,0,0,0,0,300000,300000,0,0,0,1000000,0,1000000,100,,,,,,,,,,,,,,,,,,,,,,1,1,2,12377.65,0,12377.65,,0,53 years 0 months 3 days,53,,,,,false,,,,,00141000007RvpBAAS1477432542883,Individual,,,,,,,,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,,,,Nigel Adams (Sample),,
0013h00000BGEeOAAX,Rachel Adams (Sample),true,false,,Adams (Sample),Rachel,Mrs.,,,Customer,,1155 Market Street,San Francisco,CA,94103,United States,,,,552 Grant Avenue,San Francisco,CA,94108,United States,,,,(500) 145-0557,,,,/services/images/photo/0013h00000BGEeOAAX,,,,,,,,Hot,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2021-06-02,2020-06-22T13:50:36.000+0000,2020-06-22T13:50:36.000+0000,0033h00000814bCAAQ,170 Post Street,San Francisco,CA,94108,United States,,,,[object Object],142 Sansome Street,San Francisco,CA,94104,United States,,,,[object Object],5001450558,5009798658,510) 717-4299,,rachel@acmecorp.com,,,,,1969-06-15,false,false,false,,,,,,,,,,,895000,Platinum,Fixed Income;Technology;Retirement;College Planning,00141000007RvoNAAS1477432486737,Individual,Experienced,Income;Balanced;Growth,2020-07-10,2020-05-27,High Net Worth;Female Investor,3500000,2021-06-02,2020-06-27,Rachel is participating in a triathlon soon. She is a fitness enthusiast.,Cooking;Wine,0033h00000814bCAAQ,Monthly,Moderate,Tier 1,,Active,Long Term,0,895000,0,112676.57,112676.57,0,1203911.21,1203911.21,0,961911.21,0,2000000,2000000,0,1037000,1037000,0,25000,25000,0,1000000,1000000,80,,,,,,,,,,Mass Affluent;Long Term Growth,,2019-12-13,Completed - Valid,,,,Mobile,26.6,,,1993-11-07,0,11,11,0,54234.64,54234.64,500,,51 years 0 months 7 days,51,350000,"1155 Market Street_BR_ENCODED_San Francisco, CA 94103_BR_ENCODED_United States",,,false,ACME Inc,2016-04-30,,,00141000007RvoNAAS1477432486737,Individual,"English, Arabic, Spanish, French",,"170 Post Street<br>San Francisco, CA 94108<br>United States",Married,,"SVP, Practices","142 Sansome Street<br>San Francisco, CA 94104<br>United States",false,true,false,false,"552 Grant Avenue_BR_ENCODED_San Francisco, CA 94108_BR_ENCODED_United States",,33%,,,1991-04-28,,Rachel,,,,Fraud:Phone;Fraud:Email;Fraud:SMS;Promotions:Phone,Mobile,America/Los_Angeles,true,false,,false,0606,true,true,,,Critical Family Event,,United States,,0,Andorra,,,,Rachel Adams (Sample),,
0013h00000BGEeQAAX,"Smith, Kohl and Company (Sample)",false,false,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0013h00000BGEeQAAX,,Other,,35,,,,,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,false,,,,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,,,,,,
0013h00000BGEeRAAX,Symonds Household (Sample),false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0013h00000BGEeRAAX,,,,,,,,,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,324700,,,,Group,,,2020-06-07,,,,2020-06-10,,Rachel's parents' household,,,,,,,,,0,324700,0,0,0,,324700,324700,,324700,0,0,0,0,324700,324700,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,false,,,,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,,,,,,
0013h00000BGEePAAX,Alishia Sergi ( Sample ),true,false,,Sergi ( Sample ),Alishia,Ms.,,,,,,,,,,,,,,,,,,,,,(605) 414-2147,,,,/services/images/photo/0013h00000BGEePAAX,,,,,,,,,,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,2020-06-11T01:48:18.000+0000,,,,0033h00000814bHAAQ,,,,,,,,,,,,,,,,,,,,,,,aliciasergei@gmail.com,Agent,,,,,false,false,false,,,,,,,,,,,0,,,0013k00002grCLRAA21582540439762,Individual,,,,,,,,,,,0033h00000814bHAAQ,,,,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,false,,,,,0013k00002grCLRAA21582540439762,,,,,,,,,false,false,false,false,,,,,,,United States,,English,English,,,,,false,false,,false,,false,false,,,,,United States,,0,United States,,,,Alishia Sergi ( Sample ),,
